net,length_um
net12,634.21µm
net165,492.31µm
net147,448.71µm
net573,425.69µm
net590,410µm
net415,390.685µm
net142,386.57µm
net560,384.84µm
net157,374.36µm
_2003_,373.95µm
net546,367.8µm
net131,351.71µm
net40,350.78µm
net29,348.72µm
net326,338.54µm
net148,337.4µm
net6,331.25µm
net482,328.42µm
net5,327.27µm
net601,322.755µm
net185,321.63µm
net41,317.29µm
net219,316.09µm
net567,313.69µm
net673,313.5µm
net23,310.73µm
net532,307.3µm
_0009_,304.94µm
net357,304.63µm
net30,303.81µm
net64,303.25µm
net669,302.14µm
net193,300.21µm
net275,297.04µm
net150,296.71µm
net559,296.22µm
net138,294.64µm
net607,294.29µm
net205,294.22µm
net503,293.58µm
net16,292.83µm
net323,292.76µm
net28,290.7µm
net583,289.7µm
net33,285.63µm
net552,284.2µm
net705,281.64µm
net519,280.64µm
net378,279.31µm
net579,279.1µm
net124,279.08µm
net26,278.02µm
_2098_,277.05µm
net574,276.07µm
net509,275.62µm
net542,275.59µm
net526,274.64µm
net538,271.71µm
net144,270.46µm
net406,268.66µm
net659,268.35µm
net46,267.33µm
net139,266.95µm
net423,266.09µm
net267,265.63µm
net430,263.38µm
_2146_,262.63µm
net555,262.58µm
net563,259.375µm
net342,258.1µm
net152,256.19µm
net372,256.14µm
net494,256.04µm
net179,254.67µm
net45,254.31µm
net161,253.91µm
net490,253.77µm
net646,252.865µm
net8,252.78µm
net544,252.72µm
net396,252.57µm
net514,252.175µm
net146,252.14µm
net588,252µm
net476,248.64µm
_0040_,248.48µm
net187,247.13µm
net566,246.68µm
net375,245.76µm
net140,245.74µm
net639,245.22µm
net10,244.22µm
net474,244.2µm
net382,243.09µm
net125,241.02µm
net34,239.72µm
net652,239.3µm
net391,239.01µm
net434,238.77µm
net500,238.35µm
net486,238.2µm
_0260_,238.12µm
net398,237.425µm
_2568_,236.49µm
net42,235.16µm
net127,234.3µm
net60,233.69µm
net201,232.3µm
net58,231.54µm
_2183_,231.07µm
net311,230.95µm
net672,230.32µm
net508,228.76µm
net320,227.22µm
net569,226.44µm
net496,225.78µm
net245,225.435µm
net203,224.06µm
net62,223.82µm
net325,223.44µm
net665,223.11µm
net236,222.66µm
_0238_,222.2µm
net585,220.87µm
net149,220.8µm
net3,220.13µm
net330,219.23µm
net251,218.96µm
net369,218.955µm
net437,218.395µm
net63,217.28µm
_0421_,216.71µm
net332,216.56µm
net177,214.52µm
net155,213.7µm
_1239_,211.88µm
_1228_,211.16µm
net43,211.08µm
net135,210.605µm
net540,210.58µm
net383,210.16µm
net614,210.07µm
net334,209.38µm
net227,209.37µm
_1042_,208.27µm
net666,208.1µm
net507,206.74µm
net530,206.52µm
net309,206.44µm
net61,205.85µm
net183,205.58µm
net312,205.44µm
net159,205µm
net516,205µm
net708,204.84µm
net141,204.24µm
net624,204.2µm
net636,202.12µm
_3026_,201.9µm
net536,201.43µm
net505,201.04µm
net175,200.66µm
net426,200.37µm
net591,200.32µm
net550,198.62µm
net15,198.38µm
net20,198.235µm
net196,197.54µm
net129,197.01µm
net522,196.87µm
_0827_,196.24µm
net278,196.11µm
net618,195.61µm
net258,195.26µm
net554,195.16µm
net492,194.57µm
_0633_,192.74µm
net611,192.06µm
