Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_106_632,VPWR,li1,296.7000,301.9200,1.799881
FILLER_106_629,VPWR,li1,295.5500,301.9200,1.799881
FILLER_106_626,VPWR,li1,294.1700,301.9200,1.799881
FILLER_106_623,VPWR,li1,292.7900,301.9200,1.799881
FILLER_106_620,VPWR,li1,291.4100,301.9200,1.799881
FILLER_106_617,VPWR,li1,290.0300,301.9200,1.799881
FILLER_106_613,VPWR,li1,288.1900,301.9200,1.799881
FILLER_106_610,VPWR,li1,286.8100,301.9200,1.799881
FILLER_106_607,VPWR,li1,285.4300,301.9200,1.799881
FILLER_106_604,VPWR,li1,284.0500,301.9200,1.799881
FILLER_106_601,VPWR,li1,282.6700,301.9200,1.799881
FILLER_106_598,VPWR,li1,281.2900,301.9200,1.799881
FILLER_106_595,VPWR,li1,279.9100,301.9200,1.799881
FILLER_106_592,VPWR,li1,278.5300,301.9200,1.799881
FILLER_106_589,VPWR,li1,277.1500,301.9200,1.799881
FILLER_106_585,VPWR,li1,275.3100,301.9200,1.799881
FILLER_106_582,VPWR,li1,273.9300,301.9200,1.799881
FILLER_106_579,VPWR,li1,272.5500,301.9200,1.799881
FILLER_106_576,VPWR,li1,271.1700,301.9200,1.799881
FILLER_106_573,VPWR,li1,269.7900,301.9200,1.799881
FILLER_106_570,VPWR,li1,268.4100,301.9200,1.799881
FILLER_106_567,VPWR,li1,267.0300,301.9200,1.799881
FILLER_106_564,VPWR,li1,265.6500,301.9200,1.799881
FILLER_106_561,VPWR,li1,264.2700,301.9200,1.799881
FILLER_106_557,VPWR,li1,262.4300,301.9200,1.799881
FILLER_106_554,VPWR,li1,261.0500,301.9200,1.799881
FILLER_106_548,VPWR,li1,257.8300,301.9200,1.799881
FILLER_106_545,VPWR,li1,256.9100,301.9200,1.799881
FILLER_106_542,VPWR,li1,255.5300,301.9200,1.799881
FILLER_106_539,VPWR,li1,254.1500,301.9200,1.799881
FILLER_106_536,VPWR,li1,252.7700,301.9200,1.799881
FILLER_106_533,VPWR,li1,251.3900,301.9200,1.799881
FILLER_106_529,VPWR,li1,249.5500,301.9200,1.799881
FILLER_106_526,VPWR,li1,248.1700,301.9200,1.799881
FILLER_106_523,VPWR,li1,246.7900,301.9200,1.799881
FILLER_106_520,VPWR,li1,245.4100,301.9200,1.799882
FILLER_106_517,VPWR,li1,244.0300,301.9200,1.799882
FILLER_106_514,VPWR,li1,242.6500,301.9200,1.799882
FILLER_106_511,VPWR,li1,241.2700,301.9200,1.799882
