net,length_um
_2353_,523.905
_2638_,516.69
_1741_,489.5
_2692_,471.08
_2857_,456.88
_2966_,455.1
_2506_,443.65
_3334_,436.18
_2933_,426.38
_3086_,419.45
_3196_,411.47
_1381_,410.83
_3449_,410.77
_2977_,410.4
_3032_,401.08
_1807_,400.13
_1533_,399.65
_3623_,399.545
_2714_,392.98
_2036_,386.68
_3406_,383.63
_1730_,381.23
_2867_,381.09
_2627_,379.385
_3521_,378.08
_3647_,370.54
_2572_,367.47
_3287_,364.575
_3310_,359.46
net152,353.17
_2703_,343.37
_2517_,340.91
_3319_,340.64
_2878_,338.015
_1839_,335.98
_3331_,335.09
_1752_,332.44
_1621_,331.96
_1566_,331.905
_3330_,331.1
_0506_,330.365
_2681_,327.43
_3414_,323.38
_2671_,321.48
_2846_,317.88
_1107_,316.35
_1818_,316.04
_2364_,315.4
net149,315.4
_3524_,312.65
_1632_,310.74
_3329_,310.075
_3379_,300.62
_3268_,300.19
_1938_,300.08
_0671_,298.85
_1457_,298.555
_2922_,291.15
_1850_,288.2
_1271_,287.42
_2386_,286.04
_1654_,283.78
_3810_,283.58
_3314_,282.79
_3518_,279.86
_2397_,279.7
_3809_,276.2
_3332_,276.05
_1544_,274.14
_3376_,271.36
_3333_,267.1
_0769_,266.98
_3275_,266.42
_2474_,264.64
_1675_,262.17
_3508_,260.96
_3130_,260.6
_1555_,260.16
_2495_,260.075
_0596_,259.97
_1490_,256.62
_3324_,255.5
_0660_,254.68
_2342_,252.97
_0332_,252.855
_3312_,251.9
_0278_,251.23
_3321_,249.27
_3336_,249.205
_1796_,248.2
_3749_,247.1
_3021_,246.34
_2911_,243.72
_0933_,243.16
_1413_,243.125
_1610_,241.82
_1949_,241.675
_1214_,241.38
_0094_,238.74
_2802_,237.58
_3325_,237.555
_3407_,236.78
_0137_,235.46
_3350_,235.02
_0240_,234.805
_0378_,233.14
_3152_,231.095
_0780_,230.84
_2058_,229.84
_3306_,229
_3309_,228.94
_1501_,227.86
_2616_,226.14
_2047_,225.72
_0097_,225.27
net132,225.11
net16,225.08
_2594_,224.99
_0019_,224.27
_3163_,224.22
_3492_,223.76
_3256_,222.13
_3075_,221.94
_3621_,221.905
_3271_,221.86
_1872_,221.315
_0953_,220.84
_3335_,220.355
_0856_,220.22
_3622_,219.69
_2157_,219.61
_3328_,219.24
_3448_,218.54
_3305_,218.14
_3364_,217.74
_0242_,217.45
_1894_,216.775
_1960_,216.605
_0682_,216.58
_3316_,215.8
_3326_,215.655
_3345_,214.71
net14,214.32
_2583_,214.22
_3248_,212.6
_3512_,212.18
_1971_,212.01
_3339_,211.6
_2463_,211.33
