net,length_um
_1561_,606.975
_1599_,590.08
_1799_,548.18
_1315_,532.73
_1983_,522.55
_1972_,519.54
_1543_,518.72
_1632_,494.26
_1821_,492.42
_1562_,485.3
_0032_,474.515
_0251_,453.355
_1823_,450.54
_1970_,448.54
_0004_,444.54
_1672_,442.72
_1545_,436.08
_1663_,433.14
_1930_,428.14
_0324_,427.5
_1801_,420.87
_1427_,420.69
_1828_,413.47
_1374_,411.25
_0094_,410.74
_1435_,410.4
_1674_,398.35
_0769_,393.58
_1590_,393.355
_0703_,388.95
_0136_,387.55
_1629_,385.2
_2017_,381.44
_1591_,380.945
_1671_,380.32
_1317_,378.95
_0132_,371.05
_1426_,370.42
_2038_,369.82
_1894_,367.57
_1485_,366.87
_1840_,366.32
_0022_,360.735
_1586_,358.76
_1967_,352.95
net14,345.86
_0001_,344.365
_1330_,342.62
_1789_,341.2
_1510_,340.56
_0151_,338.73
_1925_,333.595
_1593_,332.29
_1444_,332.04
_1877_,329.79
_1326_,328.215
_1926_,327.03
_1667_,324.61
_1929_,322.51
_1472_,320.445
_1566_,318.87
_1682_,317.91
_1719_,316.49
_1567_,315.96
_0661_,315.89
_1955_,315.3
_1694_,313.86
_1353_,311.41
_1697_,306.55
_1570_,305.18
_1577_,304.02
_1928_,303.31
_0644_,302.74
_1492_,302.635
_1621_,301.94
_1847_,299.17
_1642_,298.82
_1728_,295.06
_2033_,294.8
_1587_,292.4
_0206_,291.62
_1311_,290.78
_2032_,289.74
_1489_,289.13
_0433_,287.77
_1923_,287.51
_1418_,287.11
_0242_,285.78
_1939_,284.92
_1644_,284.69
_1572_,284.13
_0092_,280.69
_0277_,278.3
_1491_,277.15
_1563_,276.63
_1447_,276.56
_1441_,275.09
_0693_,274.82
_0615_,273.1
_1676_,272.71
_1785_,272.14
_1884_,270.81
_1411_,269.87
_1585_,269.87
_1922_,268.745
_0196_,268.46
_1583_,268.25
_1628_,266.14
_1890_,266.06
_1581_,264.21
_1604_,263.9
_1634_,262.74
_1874_,259.92
_1439_,258.2
_0256_,258.045
net9,255.98
_0986_,253.96
_1954_,252.77
_1576_,251.2
_1649_,250.46
_2009_,249.755
_1662_,248.95
_0078_,248.74
_1479_,246.78
_1446_,246.3
_1817_,245.81
_1618_,244.7
_1941_,243.26
_2026_,242.59
_1986_,242.13
_1422_,241.62
_1582_,241.01
_2010_,240.65
_1580_,238.38
_1608_,237.66
_1588_,237.58
_1455_,237.41
_1938_,237.08
_1627_,236.83
_1810_,235.01
_1468_,234.07
_1636_,233.68
_1666_,233.02
_1200_,232.21
_1575_,232.085
_1481_,231.905
_0953_,231.72
_1960_,231.48
_1914_,229.99
_2014_,226.64
_1842_,220.22
_0340_,219.875
_1654_,219.72
_1314_,219.65
_1969_,219.13
_1398_,218.79
_2048_,218.74
_1539_,218.64
_0642_,217.925
net6,217.72
_1475_,216.16
_1474_,215.66
_0041_,215.465
_1557_,214.75
_1571_,214
_1553_,212.78
_1656_,212.36
_1806_,211.835
_0967_,211.54
_1876_,211.16
_1421_,208.68
_0267_,207.63
net16,206.63
_1560_,204.88
_0245_,204.55
_1478_,204.435
_1865_,204.03
_0142_,202.59
_1467_,202.16
_1423_,202.075
_0037_,202.01
_1940_,200.88
_1450_,200.54
_1431_,200.11
_1451_,198.315
_0462_,198.05
net50,197.82
_1469_,197.35
_1417_,197.18
_1456_,196.12
_1724_,195.97
_1646_,195.47
_1559_,194.91
_0349_,194.89
_0080_,194.57
_1313_,194.42
_0413_,193.645
_0106_,192.16
_0066_,191.78
_2004_,191.21
_1670_,190.57
_1521_,189.89
_1357_,188.915
_0074_,188.31
_1707_,187.49
_2024_,186.92
net39,186.54
_1679_,185.335
_1555_,185.05
_0896_,184.78
net49,184.36
net13,184.05
net2,183.42
net32,183.385
_1731_,182.93
_1487_,181.58
_0577_,181.17
_0311_,180.6
_1429_,179.99
_0218_,179.81
net11,179.32
net55,178.44
_1651_,178.16
_1378_,177.45
_0304_,177.35
_1808_,177.025
_1635_,176.8
_1692_,176.71
_1338_,176.59
_1843_,176.5
net10,175.35
_1541_,175.3
_1535_,175.22
_1696_,173.715
_1337_,173.36
_2037_,171.76
_1831_,171.48
_0068_,171
_0031_,170.75
_1706_,170.45
_1809_,169.62
_1024_,167.52
_1301_,167.31
_0266_,166.74
_1453_,166.21
_1458_,165.62
_1341_,165.32
net52,165.02
_0208_,164.69
_0331_,163.525
_1645_,163.45
_1316_,163.28
_0243_,163.06
_1726_,162.805
_0329_,161.665
_1699_,161.44
net8,161.21
_0383_,161.015
_1648_,160.97
_0166_,160.95
_1937_,159.84
_1658_,159.42
_1348_,159.13
_1892_,158.225
_1592_,158.095
_1989_,158.08
_0248_,157.95
_1693_,157.78
_2055_,157.53
_0213_,157.39
_1652_,157.3
_0398_,157.28
_1443_,155.88
_1220_,155.08
_0377_,154.09
_1946_,153.81
_0764_,153.05
_0506_,152.68
_1611_,152.12
_1778_,152.1
_1968_,151.335
_1556_,151.27
net59,151.025
_0147_,151.01
_0087_,150.605
_1716_,150.12
_1289_,150.06
_1354_,149.45
net17,149.32
_1985_,149.14
_1617_,149.02
_0478_,147.84
_1477_,146.94
_1614_,146.85
_1867_,146.57
_0738_,145.66
_0559_,145.25
_0070_,145.01
_1647_,144.02
_0428_,143.68
_0072_,143.63
_0337_,143.495
_1700_,143.38
_0865_,143.26
_0402_,142.55
_0133_,142.34
_1900_,141.32
_0211_,141.16
_1598_,140.91
_1424_,139.85
_1849_,138.67
_1403_,138.32
_1916_,137.73
_1449_,137.57
net21,137.26
_1501_,136.535
net22,136.395
net53,136.34
_2030_,135.96
net64,135.325
_1945_,134.935
_1721_,134.92
_1910_,134.88
_0333_,134.85
_1851_,133.51
net60,133.31
_0103_,132.44
_0091_,132.38
_1454_,131.67
_0403_,131.42
_1830_,131.32
_0596_,129.2
_0429_,129.165
net61,128.82
_1471_,127.685
_0633_,127.615
_1235_,127.22
_0023_,126.51
_2002_,125.98
_0831_,125.9
_1624_,125.76
_0083_,124.99
_1253_,124.95
_1704_,124.54
_1659_,124.34
net66,124.2
_0432_,123.93
_0107_,123.83
_0624_,123
_1609_,122.65
_1050_,122.36
_0205_,122.33
_0742_,122.13
net67,122
net18,121.86
_1944_,121.57
_1797_,121.12
_0810_,120.26
net24,120.19
_1873_,119.295
_1177_,118.88
_0353_,118.46
clknet_0_clk,118.28
_1282_,117.8
_1883_,117.71
_1805_,117.605
net65,117.28
_2053_,117.185
_1482_,117.06
_0164_,116.91
_0084_,116.78
net36,116.76
net68,116.66
_1869_,116.41
_0857_,116.1
_0449_,115.86
_1308_,115.14
_0861_,114.68
_1841_,114.545
_1018_,114.17
_0870_,113.1
net118,112.96
_0399_,112.44
_1508_,112.395
_1620_,112.24
_0064_,112.195
net62,112.09
_1751_,111.94
_1305_,111.82
_1899_,111.52
_0397_,111.36
_0796_,111.08
_1309_,111
_0030_,110.48
_0024_,109.84
_1622_,109.64
_0592_,109.12
_1486_,109
_0781_,108.5
_1711_,108.44
_1461_,108.125
_1430_,108
_0529_,107.79
_0822_,107.46
_1643_,107.32
_1959_,107.32
_0038_,107.09
_1551_,106.68
_1664_,106.48
_1490_,106.42
net34,105.88
_2054_,105.87
net51,105.54
_1871_,105.12
_0939_,105.02
_1537_,105.01
_0017_,104.095
_1459_,103.94
_1934_,103.89
_0048_,103.7
_1868_,103.34
_1948_,103.22
_1029_,102.255
net42,102.22
_1180_,101.77
_0477_,101.42
_0935_,101.2
_0254_,100.74
_1818_,100.44
net40,99.63
net117,99.32
_1287_,99.22
